,text,label
23,The product shall be able to support multiple remote users,SCALABILITY
42,The system shall achieve 95% up time.,AVAILABILITY
165,Izogn Administrator must be able to add new products to the website within 2 minutes.,PERFORMANCE
89,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SECURITY
151,While streaming a movie buffering should only occur if there is latency in the user's connection.,PERFORMANCE
110,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MAINTAINABILITY
90,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SECURITY
149,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,PERFORMANCE
183,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PERFORMANCE
254,The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.,USABILITY
229,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,USABILITY
69,If a user account is revoked it can only be re-instantiated by the System Administrator.,SECURITY
190,The product shall able to handle a large number of games simultaneously.,PERFORMANCE
62,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PERFORMANCE
1,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,USABILITY
45,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SCALABILITY
100,The product shall use a standard navigation menu familiar to most web users.,USABILITY
5,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,USABILITY
161,The website shall be capable of supporting 100 000 customers.,SCALABILITY
132,System shall let existing customers log into the website with their email address and password in under 5 seconds.,PERFORMANCE
121,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SECURITY
0,The system shall refresh the display every 60 seconds.,PERFORMANCE
22,100% of saved user preferences shall be restored when system comes back online.,FAULT TOLERANCE
17,The product shall be available for use 24 hours per day 365 days per year,AVAILABILITY
255,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PERFORMANCE
246,The application shall have a downtime of at most 10 minutes per year.,AVAILABILITY
201,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,PERFORMANCE
127,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,SECURITY
57,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,USABILITY
65,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SECURITY
33,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,USABILITY
39,Staff members shall be able to complete a set of tasks in a timely manner.,PERFORMANCE
139,The product should be able to be used by 90% of novice users on the Internet.,USABILITY
186,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PERFORMANCE
222,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,MAINTAINABILITY
172,Only administrators can activate a pre-paid card.,SECURITY
198,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,USABILITY
113,Every registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,USABILITY
174,The website shall prevent its data from being corrupted when incorrect data is entered in.,SECURITY
27,90% of untrained realtors shall be able to install the product on their device without printed instructions,USABILITY
114,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MAINTAINABILITY
162,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MAINTAINABILITY
140,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,USABILITY
148,Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PERFORMANCE
87,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SECURITY
76,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,USABILITY
158,The streaming server will support 50 simultaneous streaming connections.,SCALABILITY
179,The system shall reveal private information only in compliance with the organization's information policy.,SECURITY
197,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,USABILITY
117,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SECURITY
67,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.,SECURITY
128,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PERFORMANCE
44,The system shall cater to 10 simultaneous users from 9am to 5pm.,SCALABILITY
205,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY
96,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,USABILITY
206,The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY
40,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PERFORMANCE
68,All additions of new users and modifications to user's access shall be recorded on the User Report.,SECURITY
130,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.,PERFORMANCE
169,Only registered customers can purchase streaming movies.,SECURITY
223,The product shall have security.The product shall provide authentication and authorization.,SECURITY
70,Only the System Administrator shall be able to reset a revoked user logon account,SECURITY
101,The product shall allow for intuitive searching of available conference rooms.,USABILITY
210,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),USABILITY
52,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SECURITY
141,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,USABILITY
50,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,SECURITY
35,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,USABILITY
144,The product shall retain the customer's buying preferences and information.,USABILITY
234,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,SCALABILITY
182,The streaming server will have anti-virus software to prevent infection of malicious viruses.,SECURITY
146,The product shall use symbols and words that are naturally understandable by users familiar with websites,USABILITY
192,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PERFORMANCE
219,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,SCALABILITY
175,The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,SECURITY
12,The search results shall be returned no later 30 seconds after the user has entered the search criteria,PERFORMANCE
163,Promotional updates to the website should take a day to update.,MAINTAINABILITY
94,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,USABILITY
131,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes.,PERFORMANCE
193,The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,USABILITY
10,The product shall use symbols and words that are naturally understandable by the realtor community.,USABILITY
242,Users shall be able to reach the 'add' 'drop' and 'trade player' pages with one click from the team owner's page.,USABILITY
157,The website shall continue to operate if the payment gateway goes down.,FAULT TOLERANCE
77,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,USABILITY
228,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),USABILITY
253,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,SECURITY
79,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PERFORMANCE
129,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PERFORMANCE
32,All of the users shall be able to use the system after one day of training.,USABILITY
97,The product shall allow the user to select a chosen language from one of the target market countries.,USABILITY
24,The product shall be able support 1000 simultaneous users.,SCALABILITY
221,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,MAINTAINABILITY
29,Every user of the system shall be authenticated and authorized.,SECURITY
49,Only authorized users shall have access to students' personal information.,SECURITY
243,Users shall be able to view at least 25 NFL player statistics and points on each page.,USABILITY
41,The system shall be available for use between the hours of 8am and 6pm.,AVAILABILITY
8,The system shall be intuitive and self explanatory.,USABILITY
248,New System version releases shall be released at the beginning of each NFL season.,MAINTAINABILITY
194,The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,USABILITY
74,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,USABILITY
99,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,USABILITY
199,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PERFORMANCE
208,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,USABILITY
43,system shall be able to handle all of the user requests/usage during business hours.,SCALABILITY
124,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PERFORMANCE
119,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,SECURITY
211,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PERFORMANCE
164,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PERFORMANCE
247,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,MAINTAINABILITY
58,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,USABILITY
215,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PERFORMANCE
233,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,SCALABILITY
142,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,USABILITY
11,The product shall produce search results in an acceptable time,PERFORMANCE
75,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,USABILITY
147,The website will use standard Internet conventions when interacting with the user.,USABILITY
214,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PERFORMANCE
251,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.,MAINTAINABILITY
156,The website shall continue to operate if the streaming server goes down.,FAULT TOLERANCE
6,The product shall respond fast to keep up-to-date data in the display.,PERFORMANCE
152,All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,SECURITY
231,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,USABILITY
203,The system must be available for use between 7:00AM and 11:59PM all days of the year.,AVAILABILITY
178,The system shall notify customers of changes to its information policy.,SECURITY
118,The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,SECURITY
112,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MAINTAINABILITY
16,The product shall synchronize with the office system every hour.,PERFORMANCE
171,Only authorized personnel can access customer records in the database.,SECURITY
245,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PERFORMANCE
250,Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,MAINTAINABILITY
19,The product shall operate in offline mode whenever internet connection is unavailable.,FAULT TOLERANCE
217,The product shall be robust.The product shall have fault avoidance based on standards adoption.,FAULT TOLERANCE
235,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,MAINTAINABILITY
126,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,SECURITY
7,The system shall be used by realtors with no training.,USABILITY
73,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,USABILITY
160,The server will support a maximum of 1 000 simultaneous users.,SCALABILITY
95,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,USABILITY
134,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PERFORMANCE
216,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,AVAILABILITY
46,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SCALABILITY
122,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SCALABILITY
167,The website will provide a help section with answers and solutions to common problems.,USABILITY
54,The system shall protect private information in accordance with the organization's information policy.,SECURITY
38,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,USABILITY
209,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,USABILITY
37,The system shall use symbols and words that are naturally understandable by the user community.,USABILITY
207,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY
213,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PERFORMANCE
188,Washing parameters will be updated during scheduled maintenance hours.,MAINTAINABILITY
120,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FAULT TOLERANCE
123,The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,USABILITY
36,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,USABILITY
166,The system will provide a 24 hour 800 toll free number for support to its customers.,AVAILABILITY
2,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,AVAILABILITY
239,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page,SECURITY
135,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PERFORMANCE
64,Only users with Update access must be able to initiate dispute requests.,SECURITY
138,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PERFORMANCE
47,Only authorized users shall have access to clinical site information.,SECURITY
28,Only registered realtors shall be able to access the system.,SECURITY
200,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,PERFORMANCE
21,The product shall retain user preferences in the event of a failure.,FAULT TOLERANCE
173,Only authorized personnel can access sales information.,SECURITY
20,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FAULT TOLERANCE
31,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,USABILITY
86,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SCALABILITY
63,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SECURITY
91,One insurance company shall not be able to view another insurance companys claim data.,SECURITY
15,The product shall synchronize contacts and appointments in an acceptable time.,PERFORMANCE
107,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SCALABILITY
81,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PERFORMANCE
125,The System shall allow for a minimum of 6 users to work at the same time.,PERFORMANCE
224,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SECURITY
227,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,USABILITY
66,All authorized users once authenticated must be able to logon to the Disputes System,SECURITY
154,The website shall achieve 99.5% up time.,AVAILABILITY
252,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.,SECURITY
170,A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,SECURITY
230,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),USABILITY
71,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SECURITY
53,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SECURITY
181,All credit card information will be encrypted in the database.,SECURITY
196,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PERFORMANCE
51,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SECURITY
9,The product shall be easy for a realtor to learn.,USABILITY
184,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PERFORMANCE
232,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,AVAILABILITY
102,The product shall conform to the Americans with Disabilities Act.,USABILITY
14,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PERFORMANCE
18,Out of 1000 accesses to the system the system is available 999 times.,AVAILABILITY
59,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,USABILITY
98,The product shall allow for customization of start page and views preferences.,USABILITY
93,The system shall prevent malicious attacks including denial of service.,SECURITY
143,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,USABILITY
61,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PERFORMANCE
137,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PERFORMANCE
13,The product shall generate a CMA report in an acceptable time.,PERFORMANCE
108,The product shall be expected to operate for at least 5 years for each customer installation.,SCALABILITY
155,All movies shall be streamed on demand at any time of the day.,AVAILABILITY
202,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,AVAILABILITY
115,The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.,USABILITY
177,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,SECURITY
60,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,USABILITY
85,The average number of recycled parts records per day shall be 50 000.,SCALABILITY
109,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,USABILITY
48,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SECURITY
191,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PERFORMANCE
104,Aside from server failure the software product shall achieve 99.99% up time.,AVAILABILITY
83,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,AVAILABILITY
136,System shall let the administrator add/remove categories on the website in under 5 minutes.,PERFORMANCE
218,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,FAULT TOLERANCE
133,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PERFORMANCE
105,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FAULT TOLERANCE
241,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,USABILITY
84,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SCALABILITY
195,The product shall provide players no access to information that might reveal the identity of another player,SECURITY
